fact_id,fact_key,node_id,node_name,source_key,jurisdiction,government_level,financial_year,measure_type,estimate_status,amount_aud,locator,sha256
3030,vic_local_govt_financial|2016-17|Total expenses / Employee benefits|actual_accrual_expense|audited_actual|3028,1044,Total expenses / Employee benefits,vic_local_govt_financial,VIC,local,2016-17,actual_accrual_expense,audited_actual,84180000,sheet:Financial Data | cell:E6588 | unit:AUD,39c4445a8bc26d8f8420b7f67fedefed9ed02eab9d8006cf218853d312a2c51c
3070,vic_local_govt_financial|2016-17|Total expenses / Employee benefits|actual_accrual_expense|audited_actual|3068,1044,Total expenses / Employee benefits,vic_local_govt_financial,VIC,local,2016-17,actual_accrual_expense,audited_actual,84180000,sheet:Financial Data | cell:E6938 | unit:AUD,39c4445a8bc26d8f8420b7f67fedefed9ed02eab9d8006cf218853d312a2c51c
81987,qld_qgip_expenditure|2024-25|GOONDIWINDI REGIONAL COUNCIL / Black Spot |actual_accrual_expense|actual,67316,GOONDIWINDI REGIONAL COUNCIL / Black Spot,qld_qgip_expenditure,QLD,state,2024-25,actual_accrual_expense,actual,42750,file:qld_qgip_expenditure__18-19-expenditure-data-consolidated.csv | row:24023 | amount_col:Financial year expenditure,fa5abeb140ac30493c127db649be0e84eb5230ca77566745a2063902bfd4960a
217525,qld_qgip_expenditure|2024-25|GOONDIWINDI REGIONAL COUNCIL / Black Spot|actual_accrual_expense|actual,67316,GOONDIWINDI REGIONAL COUNCIL / Black Spot,qld_qgip_expenditure,QLD,state,2024-25,actual_accrual_expense,actual,42750,file:qld_qgip_expenditure__consolidated-expenditure-data-17-18.csv | row:33737 | amount_col:Financial year expenditure,fa5abeb140ac30493c127db649be0e84eb5230ca77566745a2063902bfd4960a
108117,qld_qgip_expenditure|2012-13|various individuals / nan|actual_accrual_expense|actual,93316,various individuals / nan,qld_qgip_expenditure,QLD,state,2012-13,actual_accrual_expense,actual,0,file:qld_qgip_expenditure__2012-13-consolidated-qgip-expenditure.csv | row:1284 | amount_col:Total funding under this agreement,fa5abeb140ac30493c127db649be0e84eb5230ca77566745a2063902bfd4960a
108168,qld_qgip_expenditure|2012-13| various individuals / nan|actual_accrual_expense|actual,93316,various individuals / nan,qld_qgip_expenditure,QLD,state,2012-13,actual_accrual_expense,actual,0,file:qld_qgip_expenditure__2012-13-consolidated-qgip-expenditure.csv | row:1393 | amount_col:Total funding under this agreement,fa5abeb140ac30493c127db649be0e84eb5230ca77566745a2063902bfd4960a
132896,qld_qgip_expenditure|2014-15|QLD MURRAY DARLING COMMITTEE INC / Queensland Regional Natural Resource Management Investment Progam|actual_accrual_expense|actual,116100,QLD MURRAY DARLING COMMITTEE INC / Queensland Regional Natural Resource Management Investment Progam,qld_qgip_expenditure,QLD,state,2014-15,actual_accrual_expense,actual,2350000,file:qld_qgip_expenditure__2014-15-consolidated-qgip-expenditure.csv | row:20336 | amount_col:Total funding under this agreement,fa5abeb140ac30493c127db649be0e84eb5230ca77566745a2063902bfd4960a
132897,qld_qgip_expenditure|2014-15|QLD MURRAY DARLING COMMITTEE INC / Queensland Regional Natural Resource Management Investment Progam |actual_accrual_expense|actual,116100,QLD MURRAY DARLING COMMITTEE INC / Queensland Regional Natural Resource Management Investment Progam,qld_qgip_expenditure,QLD,state,2014-15,actual_accrual_expense,actual,2350000,file:qld_qgip_expenditure__2014-15-consolidated-qgip-expenditure.csv | row:20344 | amount_col:Total funding under this agreement,fa5abeb140ac30493c127db649be0e84eb5230ca77566745a2063902bfd4960a
236933,qld_qgip_expenditure|2024-25|Palm Island Aboriginal Shire Council / Palm Island Community Behaviour Change Study Program |actual_accrual_expense|actual,196635,Palm Island Aboriginal Shire Council / Palm Island Community Behaviour Change Study Program,qld_qgip_expenditure,QLD,state,2024-25,actual_accrual_expense,actual,42764,file:qld_qgip_expenditure__21-22-expenditure-data-consolidated.csv | row:9722 | amount_col:Financial year expenditure,fa5abeb140ac30493c127db649be0e84eb5230ca77566745a2063902bfd4960a
237159,qld_qgip_expenditure|2024-25|Palm Island Aboriginal Shire Council / Palm Island Community Behaviour Change Study Program|actual_accrual_expense|actual,196635,Palm Island Aboriginal Shire Council / Palm Island Community Behaviour Change Study Program,qld_qgip_expenditure,QLD,state,2024-25,actual_accrual_expense,actual,42764,file:qld_qgip_expenditure__21-22-expenditure-data-consolidated.csv | row:10197 | amount_col:Financial year expenditure,fa5abeb140ac30493c127db649be0e84eb5230ca77566745a2063902bfd4960a
