source_id,source_file,sha256,sheet,max_rows,max_columns,performance_rows,unit_counts,selected_rows,selected_measure,period,current_fact_count,support_status,exclusions
vic_output_performance_measures_2024_25,Output-performance-measures-2024-25.xlsx,c2b9ccc7fc59a51824444922f076163897a6e718d4bbeba24e8f01397ee26be9,Budget and Financial Advice,26,6,15,"number/per cent/date/$ million",1,Total output cost,2024-25,0,selected,"non-dollar KPI rows"
vic_output_performance_measures_2024_25,Output-performance-measures-2024-25.xlsx,c2b9ccc7fc59a51824444922f076163897a6e718d4bbeba24e8f01397ee26be9,Revenue Management and Adm Serv,27,6,14,"number/per cent/$ million",1,Total output cost,2024-25,0,selected,"non-dollar KPI rows"
vic_output_performance_measures_2024_25,Output-performance-measures-2024-25.xlsx,c2b9ccc7fc59a51824444922f076163897a6e718d4bbeba24e8f01397ee26be9,Economic and Policy Advice,31,6,14,"number/per cent/percentage variance/percentage point variance/date/$ million",1,Total output cost,2024-25,0,selected,"non-dollar KPI rows"
vic_output_performance_measures_2024_25,Output-performance-measures-2024-25.xlsx,c2b9ccc7fc59a51824444922f076163897a6e718d4bbeba24e8f01397ee26be9,Economic Regulatory Services,26,6,12,"number/per cent/$ million",1,Total output cost,2024-25,0,selected,"non-dollar KPI rows"
vic_output_performance_measures_2024_25,Output-performance-measures-2024-25.xlsx,c2b9ccc7fc59a51824444922f076163897a6e718d4bbeba24e8f01397ee26be9,Commercial and Infra Advice,40,6,15,"number/per cent/date/ratio/$ million",1,Total output cost,2024-25,0,selected,"non-dollar KPI rows"
vic_output_performance_measures_2024_25,Output-performance-measures-2024-25.xlsx,c2b9ccc7fc59a51824444922f076163897a6e718d4bbeba24e8f01397ee26be9,Infrastructure Victoria,14,6,4,"number/per cent/$ million",1,Total output cost,2024-25,0,selected,"non-dollar KPI rows"
vic_output_performance_measures_2024_25,Output-performance-measures-2024-25.xlsx,c2b9ccc7fc59a51824444922f076163897a6e718d4bbeba24e8f01397ee26be9,Industrial Relations,25,6,3,"number/per cent/$ million",1,Total output cost,2024-25,0,selected,"non-dollar KPI rows"
