source_id,shape,source_file,source_sha256,original_filename,landing_url,extractor_support_status,sheet,n_rows,n_cols,title_row_sample,header_row_sample,error
federal_mfs_aggregates,Aggregates,raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,8b74f69be62ff34a04a18ac4455cc0c706034368d22dbcf3126200d3a0c6ca96,6.-aggregates.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/1e1e039e-c54d-4c59-973b-7b15cde2ed63/download/6.-aggregates.xlsx,supported (scripts/ingest/extractors/mfs_aggregates.py) - this milestone's load target,2000-01,13,12,2000-2001 Australian Government general government sector - Aggregates,"AGGREGATES | 
ACTUAL
2000-2001
July
$m | 
ACTUAL
2000-2001
August
$m | 
ACTUAL
2000-2001
YTD September
$m | 
ACTUAL
2000-2001
YTD October
$m | 
ACTUAL
2000-2001
YTD November
$m | 
ACTUAL
2000-2001
YTD December
$m | 
ACTUAL
2000-2001
YTD January
$m | 
ACTUAL
2000-2001
YTD February
$m | 
ACTUAL
2000-2",
federal_mfs_aggregates,Aggregates,raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,8b74f69be62ff34a04a18ac4455cc0c706034368d22dbcf3126200d3a0c6ca96,6.-aggregates.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/1e1e039e-c54d-4c59-973b-7b15cde2ed63/download/6.-aggregates.xlsx,supported (scripts/ingest/extractors/mfs_aggregates.py) - this milestone's load target,2001-02,12,12,2001-2002 Australian Government general government sector - Aggregates,"AGGREGATES | 
ACTUAL
2001-2002
YTD July
$m | 
ACTUAL
2001-2002
YTD August
$m | 
ACTUAL
2001-2002
YTD September
$m | 
ACTUAL
2001-2002
YTD October
$m | 
ACTUAL
2001-2002
YTD November
$m | 
ACTUAL
2001-2002
YTD December
$m | 
ACTUAL
2001-2002
YTD January
$m | 
ACTUAL
2001-2002
YTD February
$m | 
ACTUA",
federal_mfs_aggregates,Aggregates,raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,8b74f69be62ff34a04a18ac4455cc0c706034368d22dbcf3126200d3a0c6ca96,6.-aggregates.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/1e1e039e-c54d-4c59-973b-7b15cde2ed63/download/6.-aggregates.xlsx,supported (scripts/ingest/extractors/mfs_aggregates.py) - this milestone's load target,2002-03,12,12,2002-2003 Australian Government general government sector - Aggregates,"AGGREGATES | 
ACTUAL
2002-2003
YTD July
$m | 
ACTUAL
2002-2003
YTD August
$m | 
ACTUAL
2002-2003
September
$m | 
ACTUAL
2002-2003
YTD October
$m | 
ACTUAL
2002-2003
YTD November
$m | 
ACTUAL
2002-2003
YTD December
$m | 
ACTUAL
2002-2003
YTD January
$m | 
ACTUAL
2002-2003
YTD February
$m | 
ACTUAL
20",
federal_mfs_aggregates,Aggregates,raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,8b74f69be62ff34a04a18ac4455cc0c706034368d22dbcf3126200d3a0c6ca96,6.-aggregates.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/1e1e039e-c54d-4c59-973b-7b15cde2ed63/download/6.-aggregates.xlsx,supported (scripts/ingest/extractors/mfs_aggregates.py) - this milestone's load target,2003-04,12,12,2003-2004 Australian Government general government sector - Aggregates,"AGGREGATES | 
ACTUAL
2003-2004
YTD July
$m | 
ACTUAL
2003-2004
YTD August
$m | 
ACTUAL
2003-2004
YTD September
$m | 
ACTUAL
2003-2004
YTD October
$m | 
ACTUAL
2003-2004
YTD November
$m | 
ACTUAL
2003-2004
YTD December
$m | 
ACTUAL
2003-2004
YTD January
$m | 
ACTUAL
2003-2004
YTD February
$m | 
ACTUA",
federal_mfs_aggregates,Aggregates,raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,8b74f69be62ff34a04a18ac4455cc0c706034368d22dbcf3126200d3a0c6ca96,6.-aggregates.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/1e1e039e-c54d-4c59-973b-7b15cde2ed63/download/6.-aggregates.xlsx,supported (scripts/ingest/extractors/mfs_aggregates.py) - this milestone's load target,2004-05,12,12,2004-2005 Australian Government general government sector - Aggregates,"AGGREGATES | 
ACTUAL
2004-2005
YTD July
$m | 
ACTUAL
2004-2005
YTD August
$m | 
ACTUAL
2004-2005
YTD September
$m | 
ACTUAL
2004-2005
YTD October
$m | 
ACTUAL
2004-2005
YTD November
$m | 
ACTUAL
2004-2005
YTD December
$m | 
ACTUAL
2004-2005
YTD January
$m | 
ACTUAL
2004-2005
YTD February
$m | 
ACTUA",
federal_mfs_aggregates,Aggregates,raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,8b74f69be62ff34a04a18ac4455cc0c706034368d22dbcf3126200d3a0c6ca96,6.-aggregates.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/1e1e039e-c54d-4c59-973b-7b15cde2ed63/download/6.-aggregates.xlsx,supported (scripts/ingest/extractors/mfs_aggregates.py) - this milestone's load target,2005-06,11,12,2005-2006 Australian Government general government sector - Aggregates,"AGGREGATES | 
ACTUAL
2005-2006
YTD July
$m | 
ACTUAL
2005-2006
YTD August
$m | 
ACTUAL
2005-2006
YTD September
$m | 
ACTUAL
2005-2006
YTD October
$m | 
ACTUAL
2005-2006
YTD November
$m | 
ACTUAL
2005-2006
YTD December
$m | 
ACTUAL
2005-2006
YTD January
$m | 
ACTUAL
2005-2006
YTD February
$m | 
ACTUA",
federal_mfs_aggregates,Aggregates,raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,8b74f69be62ff34a04a18ac4455cc0c706034368d22dbcf3126200d3a0c6ca96,6.-aggregates.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/1e1e039e-c54d-4c59-973b-7b15cde2ed63/download/6.-aggregates.xlsx,supported (scripts/ingest/extractors/mfs_aggregates.py) - this milestone's load target,2006-07,12,12,2006-2007 Australian Government general government sector - Aggregates,"AGGREGATES | 
ACTUAL
2006-2007
YTD July
$m | 
ACTUAL
2006-2007
YTD August
$m | 
ACTUAL
2006-2007
YTD September
$m | 
ACTUAL
2006-2007
YTD October
$m | 
ACTUAL
2006-2007
YTD November
$m | 
ACTUAL
2006-2007
YTD December
$m | 
ACTUAL
2006-2007
YTD January
$m | 
ACTUAL
2006-2007
YTD February
$m | 
ACTUA",
federal_mfs_aggregates,Aggregates,raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,8b74f69be62ff34a04a18ac4455cc0c706034368d22dbcf3126200d3a0c6ca96,6.-aggregates.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/1e1e039e-c54d-4c59-973b-7b15cde2ed63/download/6.-aggregates.xlsx,supported (scripts/ingest/extractors/mfs_aggregates.py) - this milestone's load target,2007-08,13,12,2007-2008 Australian Government general government sector - Aggregates,"AGGREGATES | 
ACTUAL
2007-2008
YTD July
$m | 
ACTUAL
2007-2008
YTD August
$m | 
ACTUAL
2007-2008
YTD September
$m | 
ACTUAL
2007-2008
YTD October
$m | 
ACTUAL
2007-2008
YTD November
$m | 
ACTUAL
2007-2008
YTD December
$m | 
ACTUAL
2007-2008
YTD January
$m | 
ACTUAL
2007-2008
YTD February
$m | 
ACTUA",
federal_mfs_aggregates,Aggregates,raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,8b74f69be62ff34a04a18ac4455cc0c706034368d22dbcf3126200d3a0c6ca96,6.-aggregates.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/1e1e039e-c54d-4c59-973b-7b15cde2ed63/download/6.-aggregates.xlsx,supported (scripts/ingest/extractors/mfs_aggregates.py) - this milestone's load target,2008-09,13,12,2008-2009 Australian Government general government sector - Aggregates,"AGGREGATES | 
ACTUAL
2008-2009
YTD July
$m | 
ACTUAL
2008-2009
YTD August
$m | 
ACTUAL
2008-2009
YTD September
$m | 
ACTUAL
2008-2009
YTD October
$m | 
ACTUAL
2008-2009
YTD November
$m | 
ACTUAL
2008-2009
YTD December
$m | 
ACTUAL
2008-2009
YTD January
$m | 
ACTUAL
2008-2009
YTD February
$m | 
ACTUA",
federal_mfs_aggregates,Aggregates,raw/federal/federal_mfs_aggregates/snapshots/20260724T190604Z/files/6.-aggregates.xlsx,8b74f69be62ff34a04a18ac4455cc0c706034368d22dbcf3126200d3a0c6ca96,6.-aggregates.xlsx,https://data.gov.au/data/dataset/2b690e28-8239-48c6-a71d-2658f37d51d7/resource/1e1e039e-c54d-4c59-973b-7b15cde2ed63/download/6.-aggregates.xlsx,supported (scripts/ingest/extractors/mfs_aggregates.py) - this milestone's load target,2009-10,13,12,2009-2010 Australian Government general government sector - Aggregates,"AGGREGATES | 
ACTUAL
2009-2010
YTD July
$m | 
ACTUAL
2009-2010
YTD August
$m | 
ACTUAL
2009-2010
YTD September
$m | 
ACTUAL
2009-2010
YTD October
$m | 
ACTUAL
2009-2010
YTD November
$m | 
ACTUAL
2009-2010
YTD December
$m | 
ACTUAL
2009-2010
YTD January
$m | 
ACTUAL
2009-2010
YTD February
$m | 
ACTUA",
